['haymaker.n.02.haymaker', 'haymaker.n.02.knockout_punch']
['kick.n.01.kick', 'kick.n.01.boot']
['kick.n.01.kick', 'kick.n.01.kicking']
['kick.n.01.boot', 'kick.n.01.kicking']
['punt.n.03.punt', 'punt.n.03.punting']
['kiss.n.01.kiss', 'kiss.n.01.buss']
['kiss.n.01.kiss', 'kiss.n.01.osculation']
['kiss.n.01.buss', 'kiss.n.01.osculation']
['smack.n.05.smack', 'smack.n.05.smooch']
['catch.n.09.catch', 'catch.n.09.grab']
['catch.n.09.catch', 'catch.n.09.snatch']
['catch.n.09.catch', 'catch.n.09.snap']
['catch.n.09.grab', 'catch.n.09.snatch']
['catch.n.09.grab', 'catch.n.09.snap']
